Id,OverallQual,Neighborhood,GrLivArea,YearBuilt,GarageArea,TotalBsmtSF,FullBath,YearRemodAdd,2ndFlrSF,Foundation,Exterior2nd,Fireplaces,LotArea,Exterior1st,OpenPorchSF,SalePrice
1,7,CollgCr,1710,2003,548,856,2,2003,854,PConc,VinylSd,0,8450,VinylSd,61,208500
2,6,Veenker,1262,1976,460,1262,2,1976,0,CBlock,MetalSd,1,9600,MetalSd,0,181500
3,7,CollgCr,1786,2001,608,920,2,2002,866,PConc,VinylSd,1,11250,VinylSd,42,223500
4,7,Crawfor,1717,1915,642,756,1,1970,756,BrkTil,Wd Shng,1,9550,Wd Sdng,35,140000
5,8,NoRidge,2198,2000,836,1145,2,2000,1053,PConc,VinylSd,1,14260,VinylSd,84,250000
6,5,Mitchel,1362,1993,480,796,1,1995,566,Wood,VinylSd,0,14115,VinylSd,30,143000
7,8,Somerst,1694,2004,636,1686,2,2005,0,PConc,VinylSd,1,10084,VinylSd,57,307000
8,7,NWAmes,2090,1973,484,1107,2,1973,983,CBlock,HdBoard,2,10382,HdBoard,204,200000
9,7,OldTown,1774,1931,468,952,2,1950,752,BrkTil,Wd Shng,2,6120,BrkFace,0,129900
10,5,BrkSide,1077,1939,205,991,1,1950,0,BrkTil,MetalSd,2,7420,MetalSd,4,118000
11,5,Sawyer,1040,1965,384,1040,1,1965,0,CBlock,HdBoard,0,11200,HdBoard,0,129500
13,5,Sawyer,912,1962,352,912,1,1962,0,CBlock,Plywood,0,12968,HdBoard,0,144000
14,7,CollgCr,1494,2006,840,1494,2,2007,0,PConc,VinylSd,1,10652,VinylSd,33,279500
15,6,NAmes,1253,1960,352,1253,1,1960,0,CBlock,MetalSd,1,10920,MetalSd,213,157000
16,7,BrkSide,854,1929,576,832,1,2001,0,BrkTil,Wd Sdng,0,6120,Wd Sdng,112,132000
17,6,NAmes,1004,1970,480,1004,1,1970,0,CBlock,Wd Sdng,1,11241,Wd Sdng,0,149000
19,5,SawyerW,1114,2004,576,1114,1,2004,0,PConc,VinylSd,0,13695,VinylSd,102,159000
20,5,NAmes,1339,1958,294,1029,1,1965,0,CBlock,Plywood,0,7560,BrkFace,0,139000
21,8,NridgHt,2376,2005,853,1158,3,2006,1218,PConc,VinylSd,1,14215,VinylSd,154,325300
22,7,IDOTRR,1108,1930,280,637,1,1950,0,PConc,Wd Sdng,1,7449,Wd Sdng,0,139400
23,8,CollgCr,1795,2002,534,1777,2,2002,0,PConc,VinylSd,1,9742,VinylSd,159,230000
24,5,MeadowV,1060,1976,572,1040,1,1976,0,PConc,CmentBd,1,4224,CemntBd,110,129900
25,5,Sawyer,1060,1968,270,1060,1,2001,0,CBlock,Plywood,1,8246,Plywood,90,154000
26,8,NridgHt,1600,2007,890,1566,2,2007,0,PConc,VinylSd,1,14230,VinylSd,56,256300
27,5,NAmes,900,1951,576,900,1,2000,0,CBlock,Wd Sdng,0,7200,Wd Sdng,32,134800
28,8,NridgHt,1704,2007,772,1704,2,2008,0,PConc,VinylSd,1,11478,VinylSd,50,306000
30,4,BrkSide,520,1927,240,520,1,1950,0,BrkTil,MetalSd,0,6324,MetalSd,0,68500
32,5,Sawyer,1228,1966,271,1228,1,2006,0,CBlock,HdBoard,0,8544,HdBoard,65,149350
